GEOID,R16,D16,L16,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US29001,6030.0,3500.0,426.0,25314,24103,21843,1279,51,687,13,230,1211,1115,203,427,142,1,302,4,11,4,5,0,2,7,2,5,0,91,30,11,5,3,13,3,7,6,12,0,0,0,0,1,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25314,661,24653,23644,21590,1265,41,685,13,50,1009,931,199,422,142,1,141,4,11,4,4,0,0,1,2,0,0,77,28,11,5,1,13,3,0,5,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20460,19602,17825,926,45,618,10,178,858,798,109,331,98,0,232,4,11,1,5,0,0,7,0,0,0,55,21,5,0,2,8,3,5,3,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20460,499,19961,19250,17634,922,35,616,10,33,711,662,109,331,98,0,103,4,11,1,4,0,0,1,0,0,0,48,21,5,0,0,8,3,0,3,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11338,9886,1452,2637,279,50,20,194,15,2358,2332,0,26
0500000US29003,6665.0,2045.0,336.0,18135,17288,16907,156,53,89,1,82,847,814,130,359,36,5,268,0,3,0,5,1,0,6,0,0,1,27,14,3,0,2,1,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18135,391,17744,17067,16756,138,40,89,0,44,677,654,127,341,35,5,140,0,3,0,3,0,0,0,0,0,0,19,13,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13703,13156,12882,109,51,66,0,48,547,531,42,255,16,5,200,0,3,0,2,1,0,6,0,0,1,10,2,3,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13703,232,13471,13031,12804,101,38,66,0,22,440,431,42,250,16,5,115,0,3,0,0,0,0,0,0,0,0,5,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7551,7065,486,129,129,0,0,129,0,0,0,0,0
0500000US29005,2060.0,541.0,103.99999999999999,5305,5094,5008,23,25,8,0,30,211,198,18,77,19,0,71,0,1,0,2,0,0,0,2,8,0,8,0,0,1,0,3,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,5305,73,5232,5051,4983,22,25,7,0,14,181,175,18,77,19,0,52,0,1,0,2,0,0,0,2,4,0,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4168,4024,3973,6,21,7,0,17,144,135,3,65,7,0,55,0,0,0,2,0,0,0,1,2,0,5,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,4168,43,4125,4003,3962,6,21,7,0,7,122,118,3,65,7,0,38,0,0,0,2,0,0,0,1,2,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2731,2335,396,90,77,9,0,68,0,13,0,0,13
0500000US29007,6981.0,2570.0,362.99999999999994,24962,23534,21648,1307,89,114,2,374,1428,1347,385,487,71,12,349,13,6,3,4,1,3,9,1,0,3,66,21,5,8,13,8,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,14,3,1,7,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,24962,731,24231,23014,21450,1304,63,114,2,81,1217,1166,381,472,70,12,203,13,6,3,0,0,3,2,1,0,0,41,20,5,7,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,19070,18245,16833,1024,73,89,0,226,825,790,97,380,23,12,250,9,6,3,2,0,0,7,1,0,0,24,13,0,1,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,10,3,1,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,19070,455,18615,17912,16707,1024,53,89,0,39,703,681,97,373,23,12,156,9,6,3,0,0,0,1,1,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10542,9414,1128,1896,1489,1242,0,225,22,407,0,0,407
0500000US29009,11428.0,2710.0,337.99999999999994,34534,31791,28655,106,453,811,73,1693,2743,2669,93,1268,82,7,1160,5,0,1,15,2,0,28,6,1,1,67,14,9,0,3,6,0,17,0,5,1,1,1,0,5,2,0,0,1,0,2,6,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,34534,3333,31201,29435,28058,102,316,808,70,81,1766,1716,92,1191,82,7,319,5,0,1,11,1,0,0,6,0,1,47,14,7,0,0,6,0,3,0,5,1,1,1,0,5,2,0,0,0,0,2,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26586,24703,22683,82,335,501,37,1065,1883,1840,38,976,49,1,733,5,0,0,11,2,0,19,6,0,0,41,8,6,0,0,3,0,17,0,0,1,0,1,0,0,2,0,0,1,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26586,1995,24591,23267,22351,82,244,498,37,55,1324,1296,38,938,49,1,251,5,0,0,7,1,0,0,6,0,0,26,8,6,0,0,3,0,3,0,0,1,0,1,0,0,2,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16990,13720,3270,236,236,44,0,192,0,0,0,0,0
0500000US29011,4959.0,795.0,134.99999999999994,11637,10792,10462,32,151,39,2,106,845,817,42,425,26,3,315,0,0,0,1,0,0,0,0,5,0,20,4,4,0,0,0,1,7,0,3,0,0,0,0,0,0,1,0,0,0,0,8,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11637,266,11371,10593,10367,27,145,37,2,15,778,757,41,411,24,2,274,0,0,0,0,0,0,0,0,5,0,14,4,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8773,8235,8003,21,118,26,2,65,538,538,20,287,5,3,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8773,148,8625,8125,7952,20,112,24,2,15,500,500,20,276,5,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5290,4702,588,22,11,10,1,0,0,11,0,0,11
0500000US29013,6001.0,1618.0,305.99999999999994,16042,15352,14925,155,99,48,9,116,690,654,80,320,25,7,210,0,3,0,4,0,0,0,3,2,0,28,15,0,0,6,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16042,335,15707,15124,14799,155,92,48,9,21,583,548,76,302,24,7,129,0,3,0,2,0,0,0,3,2,0,27,15,0,0,6,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12376,11933,11609,126,78,26,9,85,443,422,21,237,12,3,140,0,3,0,3,0,0,0,3,0,0,14,5,0,0,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12376,191,12185,11799,11541,126,78,26,9,19,386,366,21,230,11,3,93,0,3,0,2,0,0,0,3,0,0,13,5,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7189,6391,798,338,320,159,11,150,0,18,0,0,18
0500000US29015,7213.0,2025.0,277.99999999999994,19394,18380,18031,76,108,57,2,106,1014,984,90,522,55,6,299,2,0,4,2,2,0,2,0,0,0,27,18,2,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,19394,310,19084,18204,17934,75,100,51,0,44,880,862,83,501,54,6,210,2,0,4,0,2,0,0,0,0,0,18,13,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15916,15163,14897,46,84,55,2,79,753,730,28,418,31,5,240,2,0,0,2,2,0,2,0,0,0,20,11,2,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,15916,216,15700,15031,14835,45,76,49,0,26,669,653,26,406,31,5,181,2,0,0,0,2,0,0,0,0,0,16,11,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13551,8525,5026,276,189,16,0,173,0,87,0,0,87
0500000US29017,4827.0,705.0,96.99999999999999,10567,10067,9932,39,34,23,3,36,500,478,20,323,7,0,126,2,0,0,0,0,0,0,0,0,0,21,10,0,1,4,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10567,153,10414,9972,9862,35,30,20,3,22,442,427,20,318,3,0,84,2,0,0,0,0,0,0,0,0,0,14,10,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8246,7877,7780,30,24,20,3,20,369,362,13,256,2,0,89,2,0,0,0,0,0,0,0,0,0,7,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8246,83,8163,7818,7735,30,20,20,3,10,345,338,13,256,1,0,66,2,0,0,0,0,0,0,0,0,0,7,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5037,4177,860,233,108,24,0,84,0,125,0,0,125
0500000US29019,36200.0,41125.0,4268.0,183610,170237,139955,18100,627,7820,125,3610,13373,12609,3458,3274,1600,96,3555,197,89,9,199,5,6,34,39,42,6,669,255,61,19,82,57,2,109,34,26,3,7,0,2,7,3,0,2,0,0,0,76,25,4,21,0,15,0,0,4,0,1,6,0,0,0,0,18,9,5,0,4,0,0,1,1,183610,8052,175558,164987,137771,17882,452,7772,120,990,10571,10090,3381,3153,1555,96,1408,185,89,9,133,5,6,5,35,28,2,428,210,61,19,32,55,0,1,31,1,1,7,0,0,5,3,0,2,0,0,0,43,18,4,1,0,12,0,0,2,0,0,6,0,0,0,0,9,8,1,0,0,0,0,1,1,145252,136874,114426,13078,523,6178,86,2583,8378,7952,1468,2540,938,74,2522,154,56,0,107,4,6,32,27,21,3,372,129,31,10,45,25,2,79,24,11,2,7,0,0,2,3,0,2,0,0,0,40,7,0,17,0,5,0,0,4,0,1,6,0,0,0,0,13,8,1,0,4,0,0,1,1,145252,5616,139636,133073,112857,12944,384,6140,82,666,6563,6303,1446,2471,920,74,1050,150,56,0,73,4,6,5,26,20,2,237,110,31,10,23,25,0,1,24,1,0,7,0,0,0,3,0,2,0,0,0,14,0,0,1,0,5,0,0,2,0,0,6,0,0,0,0,8,8,0,0,0,0,0,1,1,79836,73470,6366,10720,1244,223,53,924,44,9476,9089,0,387
