GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US28001,29538,16785,23528,12765,25781,913,5874.0,124.99999999999997,7757.0
0500000US28003,34740,4337,26866,3228,6594,683,11819.0,166.99999999999994,2684.0
0500000US28005,12720,4854,10239,3776,7638,92,4289.0,37.99999999999998,2697.0
0500000US28007,17889,7678,13493,5452,10978,205,4897.0,56.99999999999997,3242.0
0500000US28009,7646,2666,6078,2086,4270,101,2251.0,27.99999999999999,1719.0
0500000US28011,30985,19365,23662,14302,28866,581,4590.0,99.99999999999996,9046.0
0500000US28013,13266,3467,10432,2663,5399,453,4390.0,48.99999999999997,1910.0
0500000US28015,9998,3044,8122,2418,4888,122,3799.0,28.999999999999982,1680.0
0500000US28017,17106,7436,13222,5569,11252,408,4127.0,60.99999999999998,3649.0
0500000US28019,8246,2343,6447,1772,3593,63,2788.0,25.999999999999986,1218.0
0500000US28021,9135,7989,7223,6208,12501,51,540.0,6.999999999999994,3708.0
0500000US28023,15615,5115,12027,3841,7785,70,5137.0,28.999999999999968,2585.0
0500000US28025,18636,10803,14614,8135,16385,128,4150.0,68.99999999999997,5722.0
0500000US28027,21390,16281,15915,11654,23534,249,2426.0,52.99999999999997,6378.0
0500000US28029,28368,14342,22065,10780,21829,692,6103.0,72.99999999999996,6741.0
0500000US28031,18340,6416,14126,4787,9657,235,5435.0,60.999999999999964,3276.0
0500000US28033,185314,56205,138014,39772,80603,6345,43089.0,1329.0,20591.0
0500000US28035,78158,28330,61220,21213,42990,2192,15461.0,598.0,11716.0
0500000US28037,7675,2585,6069,1973,3978,39,2721.0,21.999999999999982,1502.0
0500000US28039,24350,1782,18253,1342,2743,405,8696.0,90.99999999999997,1027.0
0500000US28041,13530,3149,10824,2757,5551,111,4335.0,27.99999999999998,974.0
0500000US28043,21629,9409,16697,6992,14144,193,5970.0,68.99999999999997,4424.0
0500000US28045,46053,3957,36202,2837,5945,1391,13811.0,311.99999999999994,3344.0
0500000US28047,208621,51706,159463,36383,74824,9162,40354.0,1230.0,21169.0
0500000US28049,227742,158112,177425,119372,240846,3233,25275.0,1012.9999999999999,67594.0
0500000US28051,17000,14256,12981,10577,21322,81,1309.0,24.99999999999997,6689.0
0500000US28053,7785,6110,5872,4449,9006,67,1151.0,11.999999999999988,3071.0
0500000US28055,1338,757,1157,646,1300,119,298.0,3.9999999999999982,395.0
0500000US28057,23863,1625,18529,1261,2581,252,8470.0,83.99999999999997,1117.0
0500000US28059,143252,30070,109676,22212,45569,6563,33629.0,900.9999999999999,14657.0
0500000US28061,16367,8341,12708,6242,12576,110,4038.0,27.99999999999998,4368.0
0500000US28063,7260,6191,5578,4667,9402,45,490.0,12.999999999999993,3337.0
0500000US28065,11321,6643,8964,5120,10350,65,2466.0,20.999999999999986,3720.0
0500000US28067,67246,19239,50776,13700,27746,2451,20133.0,267.99999999999994,7791.0
0500000US28069,8988,5495,7169,4269,8606,53,1778.0,17.999999999999986,2827.0
0500000US28071,55813,11381,45658,8872,18019,1532,10872.0,577.0,7969.0
0500000US28073,64222,14372,47683,9975,20322,1452,18751.0,451.99999999999994,5190.0
0500000US28075,72984,32133,55594,23246,47001,1146,17741.0,306.99999999999994,11269.0
0500000US28077,12016,3703,9042,2709,5469,132,4091.0,39.99999999999998,2195.0
0500000US28079,21275,8235,15843,5977,12070,689,4782.0,39.99999999999997,3584.0
0500000US28081,83343,24246,63696,17404,35272,1704,22220.0,404.99999999999994,10029.0
0500000US28083,28339,20895,20986,14939,30163,557,3212.0,77.99999999999997,7787.0
0500000US28085,34907,10542,26514,7782,15752,252,10550.0,88.99999999999996,4458.0
0500000US28087,58879,25997,45651,19455,39319,925,13271.0,294.99999999999994,11819.0
0500000US28089,109145,38647,82961,28645,57915,2628,28265.0,842.0,20343.0
0500000US28091,24441,7623,18669,5690,11478,245,7836.0,106.99999999999997,3677.0
0500000US28093,33752,14912,27156,11894,24040,977,6587.0,94.99999999999997,8023.0
0500000US28095,34180,10337,26628,7869,15927,301,10167.0,109.99999999999994,5524.0
0500000US28097,9822,4373,7741,3297,6661,68,2818.0,31.999999999999982,2115.0
0500000US28099,29087,6404,21219,4504,9153,285,7679.0,82.99999999999997,2715.0
0500000US28101,21291,6472,16144,4800,9713,225,6548.0,66.99999999999996,2756.0
0500000US28103,10285,7227,7805,5432,10997,103,1200.0,11.99999999999999,4347.0
0500000US28105,51788,18330,42786,14127,28568,1010,8576.0,463.99999999999994,8859.0
0500000US28107,33208,16092,25135,11501,23244,411,7449.0,95.99999999999997,7431.0
0500000US28109,56145,6710,43337,5040,10344,1522,17782.0,314.99999999999994,3604.0
0500000US28111,11511,2097,9011,1647,3319,96,4135.0,46.99999999999998,1220.0
0500000US28113,40324,21562,30676,15616,31540,424,8009.0,141.99999999999994,8043.0
0500000US28115,31184,4226,23286,3156,6454,1163,10336.0,149.99999999999997,2386.0
0500000US28117,25008,3570,19426,2765,5648,280,7648.0,78.99999999999997,2067.0
0500000US28119,6176,4546,4885,3489,7028,4,1001.0,19.999999999999986,2312.0
0500000US28121,157031,32566,120310,24212,49056,3259,47178.0,966.9999999999999,14110.0
0500000US28123,27990,10012,20301,7129,14439,2430,6122.0,80.99999999999996,4268.0
0500000US28125,3800,2689,2919,1980,3999,46,692.0,9.999999999999993,1479.0
0500000US28127,25949,8838,19729,6474,13127,254,7393.0,73.99999999999996,3874.0
0500000US28129,14209,3112,11025,2275,4586,131,5928.0,50.99999999999997,1617.0
0500000US28131,18333,3253,14294,2507,5066,341,5306.0,107.99999999999999,1573.0
0500000US28133,25971,18164,20456,13827,27854,501,2794.0,26.99999999999997,6725.0
0500000US28135,12715,7454,10163,5645,11341,402,2462.0,30.999999999999986,3337.0
0500000US28137,28064,8262,21712,6171,12533,494,7495.0,114.99999999999999,3926.0
0500000US28139,21815,3464,16724,2646,5386,687,7240.0,71.99999999999997,1842.0
0500000US28141,18850,434,14902,361,787,341,7166.0,139.99999999999997,999.0
0500000US28143,9782,7559,7095,5235,10542,137,853.0,17.99999999999999,2667.0
0500000US28145,27777,3974,21120,2979,6076,795,9235.0,132.99999999999997,2012.0
0500000US28147,13884,5732,10801,4307,8693,136,4056.0,30.99999999999998,2790.0
0500000US28149,44722,21417,34312,15510,31326,604,9767.0,228.99999999999997,9284.0
0500000US28151,44922,32042,34277,23698,47779,393,5244.0,105.99999999999994,11380.0
0500000US28153,19779,7732,15032,5624,11350,221,5990.0,45.99999999999997,3524.0
0500000US28155,9926,1785,7621,1356,2743,86,3976.0,26.999999999999982,1019.0
0500000US28157,8587,5787,6879,4501,9100,59,1318.0,14.999999999999986,2857.0
0500000US28159,17714,8121,13650,5936,11982,143,4910.0,54.99999999999997,3850.0
0500000US28161,12481,4638,9980,3513,7091,123,3376.0,69.99999999999999,2582.0
0500000US28163,26743,15931,21129,12026,24225,1000,4598.0,46.99999999999998,5369.0
